name,pos,height,weight,wonderlic,40yd,benchpress,vertleap,broadjump,shuttle,3cone
Antoine McClain,OG,78.0,329.0,,5.48,19.0,27.0,91.0,4.82,8.13
Shea McClellin,OLB,75.0,260.0,,4.62,19.0,31.5,118.0,4.33,7.07
Kelcie McCray,SS,74.0,202.0,,4.48,12.0,30.5,122.0,4.29,7.0
Kellen Moore,QB,73.0,197.0,26.0,4.82,0.0,27.0,99.0,4.56,7.41
Jerron McMillian,SS,71.0,203.0,,4.47,17.0,36.5,120.0,4.22,6.69
Caleb McSurdy,ILB,73.0,245.0,,4.82,26.0,30.0,110.0,4.28,7.26
Vaughn Meatoga,DT,73.0,294.0,,4.93,27.0,30.0,108.0,4.21,7.1
Davin Meggett,RB,68.0,211.0,,4.5,23.0,35.0,118.0,4.32,7.14
Whitney Mercilus,DE,76.0,261.0,,4.68,27.0,32.0,118.0,4.53,7.17
Ryan Miller,OG,79.0,321.0,,5.16,32.0,28.0,100.0,4.78,7.72
Charles Mitchell,SS,71.0,202.0,,4.56,19.0,37.0,127.0,4.22,6.93
Kashif Moore,WR,69.0,180.0,,4.36,19.0,43.5,126.0,4.05,6.82
Alfred Morris,RB,70.0,219.0,,4.63,16.0,35.5,117.0,4.19,7.01
Brandon Mosley,OT,78.0,314.0,,5.14,30.0,27.0,103.0,4.78,7.43
Josh Norman,CB,73.0,197.0,,4.61,14.0,33.0,124.0,4.23,7.09
Kelechi Osemele,OT,78.0,333.0,,5.22,32.0,26.5,104.0,4.87,7.91
Chris Owusu,WR,73.0,196.0,,4.31,19.0,40.5,129.0,4.11,6.85
Eric Page,WR,69.0,186.0,,4.5,15.0,30.0,112.0,3.98,6.95
David Paulson,TE,75.0,246.0,,4.79,21.0,32.0,110.0,4.4,7.18
Nick Perry,DE,75.0,271.0,,4.55,35.0,38.5,124.0,4.66,7.25
Bernard Pierce,RB,73.0,218.0,,4.45,17.0,36.5,123.0,4.28,7.07
Eddie Pleasant,SS,70.0,211.0,,4.53,22.0,33.5,116.0,4.28,7.12
Dontari Poe,DT,76.0,346.0,,4.89,44.0,29.5,105.0,4.56,7.9
Tauren Poole,RB,70.0,205.0,,4.48,24.0,34.0,118.0,4.19,7.36
DeVier Posey,WR,74.0,211.0,,4.39,14.0,36.5,123.0,4.15,7.03
Nate Potter,OT,78.0,303.0,,5.26,22.0,28.5,100.0,4.67,7.49
Chaz Powell,CB,73.0,203.0,,4.42,17.0,33.0,121.0,4.16,6.84
Tydreke Powell,DT,74.0,311.0,,5.28,29.0,28.5,99.0,4.62,7.31
DeAndre Presley,CB,70.0,185.0,,4.53,8.0,32.0,114.0,4.28,7.19
Cyhl Quarles,SS,74.0,213.0,,4.54,19.0,32.5,119.0,4.32,7.21
Brian Quick,WR,76.0,220.0,,4.5,15.0,34.0,119.0,4.23,7.1
Chris Rainey,RB,68.0,180.0,,4.36,16.0,36.5,120.0,3.93,6.5
Kheeston Randall,DT,77.0,293.0,,5.0,28.0,34.0,111.0,4.84,7.49
Rueben Randle,WR,75.0,210.0,,4.55,15.0,31.0,121.0,4.36,6.99
Riley Reiff,OT,78.0,313.0,,5.16,23.0,26.5,98.0,4.75,7.87
Kendall Reyes,DT,76.0,299.0,,4.82,36.0,34.5,113.0,4.53,7.43
Sean Richardson,SS,75.0,216.0,,4.43,22.0,38.5,128.0,4.44,7.01
Josh Robinson,CB,70.0,199.0,,4.29,17.0,38.5,133.0,3.97,6.55
Evan Rodriguez,FB,74.0,239.0,,4.53,18.0,36.0,119.0,4.28,6.94
Brett Roy,DT,75.0,275.0,,5.0,32.0,30.5,108.0,4.62,7.31
Zebrie Sanders,OT,78.0,320.0,,5.33,28.0,27.0,100.0,4.99,8.15
Mohamed Sanu,WR,74.0,211.0,,4.62,19.0,36.0,126.0,4.22,6.88
Quentin Saulsberry,C,74.0,304.0,,5.28,26.0,22.0,90.0,4.99,8.19
Mitchell Schwartz,OT,77.0,318.0,,5.38,23.0,26.5,89.0,4.87,7.86
Coty Sensabaugh,CB,71.0,189.0,,4.33,15.0,37.0,122.0,4.06,6.6
Derrick Shelby,DE,75.0,266.0,,4.87,26.0,35.5,116.0,4.5,7.09
Amini Silatolu,OG,76.0,311.0,,5.33,28.0,31.5,107.0,4.87,7.95
Harrison Smith,SS,74.0,213.0,,4.54,19.0,34.0,122.0,4.12,6.63
Jacquies Smith,DE,75.0,253.0,,4.75,21.0,31.5,110.0,4.31,7.25
Scott Solomon,DE,75.0,262.0,,4.88,34.0,35.0,124.0,4.25,7.17
Sean Spence,OLB,71.0,231.0,,4.66,12.0,33.5,119.0,4.28,7.46
Ryan Steed,CB,71.0,195.0,,4.64,12.0,34.0,121.0,4.22,6.94
Donald Stephenson,OT,78.0,312.0,,4.94,19.0,35.5,114.0,4.78,7.52
Nathan Stupar,OLB,74.0,241.0,,4.65,21.0,31.0,116.0,4.28,6.84
J.R. Sweezy,DT,77.0,298.0,,4.97,21.0,36.0,113.0,4.41,7.4
Darron Thomas,QB,75.0,220.0,,4.77,14.0,36.0,121.0,4.28,7.17
Johnny Thomas,SS,70.0,206.0,,4.57,20.0,35.5,123.0,4.25,7.01
Brandon Thompson,DT,74.0,314.0,,5.2,35.0,31.0,100.0,4.71,7.97
Christian Thompson,FS,73.0,211.0,,4.42,18.0,31.5,122.0,4.13,7.33
Andrew Tiller,OG,76.0,324.0,,5.44,16.0,23.0,85.0,4.8,7.92
Russell Wilson,QB,71.0,204.0,28.0,4.53,0.0,34.0,118.0,4.09,6.97
Christian Tupou,DT,74.0,289.0,,5.38,30.0,24.0,92.0,4.87,8.07
Robert Turbin,RB,70.0,222.0,,4.42,28.0,36.0,122.0,4.31,7.16
Olivier Vernon,DE,74.0,261.0,,4.73,31.0,34.5,122.0,4.5,7.39
Trevin Wade,CB,70.0,192.0,,4.52,18.0,34.5,116.0,4.0,6.87
Dustin Waldron,OT,77.0,305.0,,5.23,29.0,26.0,103.0,4.75,7.93
Brandon Washington,OG,75.0,320.0,,5.14,28.0,25.0,101.0,4.87,8.22
Corey White,SS,73.0,206.0,,4.53,15.0,37.5,126.0,4.22,6.72
Jordan White,WR,73.0,208.0,,4.63,14.0,35.0,119.0,4.13,6.84
Tahir Whitehead,OLB,73.0,233.0,,4.62,21.0,37.0,124.0,4.37,7.14
Kyle Wilber,OLB,76.0,249.0,,4.73,25.0,33.5,117.0,4.31,7.11
Billy Winn,DE,76.0,294.0,,4.86,24.0,27.0,107.0,4.44,7.37
Derek Wolfe,DT,77.0,295.0,,4.93,33.0,33.5,108.0,4.44,7.26
Jarius Wright,WR,70.0,182.0,,4.39,11.0,38.0,120.0,4.03,6.93
Patrick Witt,QB,76.0,225.0,,5.08,0.0,31.5,101.0,4.37,7.14
Kevin Zeitler,OG,76.0,314.0,,5.32,32.0,29.0,101.0,4.61,7.77
Sam Acho,OLB,74.0,262.0,,4.67,23.0,33.5,112.0,4.32,6.69
Olufemi Ajiboye,DT,73.0,297.0,,5.31,23.0,24.0,91.0,4.71,7.72
Anthony Allen,RB,73.0,228.0,,4.56,24.0,41.5,120.0,4.06,6.79
Cortez Allen,CB,73.0,197.0,,4.5,18.0,35.5,129.0,4.01,6.76
Prince Amukamara,CB,73.0,206.0,,4.38,15.0,38.0,128.0,4.08,6.97
David Arkin,OG,77.0,300.0,,5.31,25.0,29.0,103.0,4.63,7.6
Matt Asiata,RB,71.0,229.0,,4.77,22.0,30.0,104.0,4.37,7.09
Marvin Austin,DT,74.0,309.0,,4.84,38.0,30.5,112.0,4.4,7.33
Akeem Ayers,OLB,75.0,254.0,,4.81,18.0,31.0,116.0,4.28,7.49
Allen Bailey,DE,75.0,285.0,,4.71,27.0,36.5,117.0,4.56,7.43
Brandon Bair,DE,78.0,276.0,,4.92,26.0,28.0,114.0,4.37,7.07
Jon Baldwin,WR,76.0,228.0,14.0,4.49,20.0,42.0,129.0,4.34,7.07
Joseph Barksdale,OT,77.0,325.0,,5.31,29.0,29.0,103.0,4.75,8.27
Ryan Bartholomew,C,73.0,302.0,,4.93,34.0,26.5,92.0,4.62,7.62
Jeremy Beal,ILB,74.0,262.0,,5.14,22.0,28.5,106.0,4.46,7.2
Nick Bellore,ILB,73.0,245.0,,4.84,23.0,32.5,109.0,4.0,6.98
Damien Berry,RB,70.0,211.0,,4.58,23.0,33.5,120.0,4.12,7.0
Armon Binns,WR,75.0,209.0,,4.5,13.0,31.5,118.0,4.31,6.86
Ahmad Black,SS,70.0,184.0,,4.7,18.0,35.5,119.0,4.2,6.85
Clint Boling,OG,77.0,308.0,,5.28,28.0,31.0,102.0,4.64,7.66
Allen Bradford,RB,71.0,242.0,,4.53,28.0,29.0,113.0,4.39,6.97
James Brewer,OT,78.0,323.0,,5.21,25.0,26.0,100.0,4.81,7.84
Curtis Brown,CB,73.0,185.0,,4.51,10.0,39.5,128.0,4.0,6.59
DeAndre Brown,WR,78.0,233.0,,4.59,20.0,29.0,117.0,4.33,6.93
Jalil Brown,CB,73.0,204.0,,4.52,24.0,35.5,116.0,4.25,6.85
Vincent Brown,WR,71.0,187.0,,4.68,12.0,33.5,121.0,4.25,6.64
Brandon Burton,CB,73.0,190.0,,4.5,18.0,32.0,118.0,4.07,6.93
Stephen Burton,WR,73.0,221.0,,4.5,19.0,34.5,117.0,4.31,7.04
Jordan Cameron,TE,77.0,254.0,,4.53,23.0,37.5,119.0,4.03,6.82
Marcus Cannon,OT,77.0,358.0,,5.26,33.0,30.5,105.0,4.97,8.07
Rashad Carmichael,CB,70.0,192.0,,4.53,13.0,31.0,116.0,4.06,6.69
Chris Carter,OLB,73.0,248.0,,4.58,27.0,36.0,114.0,4.34,6.88
Delone Carter,RB,69.0,222.0,,4.54,27.0,37.0,120.0,4.07,6.92
Quinton Carter,FS,73.0,208.0,,4.57,23.0,34.5,121.0,4.06,7.05
Jurrell Casey,DT,73.0,300.0,,5.04,26.0,27.5,101.0,4.78,7.51
Anthony Castonzo,OT,79.0,311.0,,5.21,28.0,29.5,105.0,4.4,7.25
Shaun Chapas,FB,74.0,247.0,,4.87,23.0,35.5,116.0,4.4,7.13
Ugo Chinasa,DE,77.0,264.0,,4.63,22.0,28.0,117.0,4.39,7.07
Charles Clay,FB,75.0,245.0,,4.69,18.0,33.5,118.0,4.15,7.07
Randall Cobb,WR,70.0,191.0,,4.46,16.0,33.5,115.0,4.34,7.08
Andy Dalton,QB,74.0,215.0,29.0,4.83,0.0,29.5,106.0,4.27,6.93
Chris Conte,FS,74.0,197.0,,4.52,18.0,35.5,127.0,4.19,7.01
Pat Devlin,QB,75.0,225.0,,4.81,0.0,33.0,116.0,4.32,7.08
Ray Dominguez,OG,76.0,334.0,,5.45,21.0,27.5,90.0,4.9,7.74
Shaun Draughn,RB,71.0,213.0,,4.73,21.0,34.0,118.0,4.2,7.15
Ricky Elmore,DE,77.0,255.0,,4.88,26.0,31.5,106.0,4.32,7.25
Nathan Enderle,QB,76.0,240.0,,5.12,0.0,25.5,102.0,4.46,7.13
Darren Evans,RB,73.0,227.0,,4.56,26.0,35.0,111.0,4.46,6.96
Blaine Gabbert,QB,76.0,234.0,42.0,4.61,0.0,33.5,120.0,4.26,6.84
Mario Fannin,RB,70.0,231.0,,4.37,21.0,37.5,115.0,4.21,6.99
Mason Foster,OLB,73.0,245.0,,4.75,22.0,31.0,110.0,4.45,7.14
Sione Fua,DT,74.0,308.0,,5.28,30.0,24.0,101.0,4.54,7.54
Brandon Fusco,C,76.0,306.0,,5.18,26.0,28.5,108.0,4.43,7.29
Charlie Gantt,TE,76.0,252.0,,4.85,27.0,30.5,112.0,4.4,7.15
A.J. Green,WR,76.0,211.0,10.0,4.48,18.0,34.5,126.0,4.21,6.91
Marcus Gilchrist,CB,70.0,195.0,,4.45,26.0,38.5,119.0,4.12,6.81
Cameron Graham,TE,75.0,244.0,,5.0,18.0,31.0,105.0,4.51,7.19
Adam Grant,OT,78.0,325.0,,5.54,25.0,26.5,99.0,5.0,8.25
John Graves,DT,75.0,286.0,,5.09,29.0,28.5,114.0,4.49,7.49
Alex Green,RB,73.0,225.0,,4.45,20.0,34.0,114.0,4.15,6.91
Virgil Green,TE,75.0,249.0,,4.54,23.0,42.5,130.0,4.4,6.9
Tori Gurley,WR,76.0,216.0,,4.53,15.0,33.5,118.0,4.25,7.05
Eric Hagg,FS,73.0,209.0,,4.62,18.0,34.5,121.0,4.19,6.73
Chris Hairston,OT,78.0,326.0,,5.38,33.0,29.0,96.0,4.7,7.9
Leonard Hankerson,WR,74.0,209.0,,4.4,14.0,36.0,117.0,4.21,6.94
Jamie Harper,RB,71.0,233.0,,4.53,24.0,36.5,120.0,4.39,7.16
Brandon Harris,CB,70.0,191.0,,4.46,13.0,35.5,113.0,4.12,6.77
Dwayne Harris,WR,70.0,203.0,,4.53,10.0,34.0,111.0,4.21,6.77
Roy Helu,RB,73.0,219.0,,4.4,11.0,36.5,119.0,4.01,6.67
Ricky Henry,OG,75.0,308.0,,5.68,20.0,24.0,90.0,4.68,7.98
Sandon Herzlich,OLB,76.0,244.0,,4.91,29.0,32.5,112.0,4.46,7.32
Kyle Hix,OT,79.0,319.0,,5.44,24.0,32.0,104.0,4.78,7.77
Doug Hogue,OLB,75.0,235.0,,4.62,18.0,36.0,121.0,4.57,7.09
Andre Holmes,WR,76.0,210.0,,4.51,11.0,35.0,130.0,4.31,6.69
Ross Homan,OLB,73.0,240.0,,4.66,32.0,35.5,111.0,4.34,7.21
Davon House,CB,73.0,200.0,,4.44,14.0,33.5,109.0,4.12,6.65
Rob Housler,TE,77.0,248.0,,4.46,22.0,37.0,117.0,4.21,6.9
Justin Houston,OLB,75.0,270.0,,4.62,30.0,36.5,125.0,4.37,6.95
Rodney Hudson,C,74.0,299.0,,5.27,27.0,25.5,95.0,4.96,8.03
Kevin Hughes,OT,76.0,302.0,,5.31,22.0,29.5,95.0,4.97,8.29
Kendall Hunter,RB,67.0,199.0,,4.46,24.0,35.0,122.0,4.21,6.74
Mark Ingram,RB,69.0,215.0,,4.62,21.0,31.5,113.0,4.62,7.13
Andrew Jackson,OG,77.0,299.0,,5.27,25.0,28.0,98.0,4.65,7.55
Jaiquawn Jarrett,FS,73.0,198.0,,4.62,14.0,30.0,113.0,4.14,6.95
Lestar Jean,WR,75.0,215.0,,4.61,14.0,37.5,113.0,4.43,7.45
Jarvis Jenkins,DT,76.0,310.0,,5.03,17.0,26.5,98.0,4.83,7.42
Jerrel Jernigan,WR,69.0,185.0,,4.46,11.0,37.5,117.0,4.25,7.07
Greg Jones,ILB,73.0,242.0,,4.75,21.0,31.5,117.0,4.27,7.21
Cameron Jordan,DE,76.0,287.0,,4.74,25.0,31.0,117.0,4.37,7.07
Colin Kaepernick,QB,77.0,233.0,,4.53,0.0,32.5,115.0,4.18,6.85
Lance Kendricks,TE,75.0,243.0,,4.65,25.0,34.5,122.0,4.15,6.94
Shiloh Keo,SS,71.0,219.0,,4.74,24.0,32.5,110.0,3.9,6.55
Patrick Kerrigan,DE,76.0,267.0,,4.67,31.0,33.5,122.0,4.39,7.18
Daniel Kilgore,OG,75.0,308.0,,5.28,23.0,32.5,105.0,4.68,7.59
Jarriel King,OT,77.0,317.0,,5.03,23.0,30.0,114.0,4.77,7.6
Joe Lefeged,SS,73.0,210.0,,4.42,18.0,36.5,122.0,4.13,6.82
Jake Locker,QB,75.0,231.0,20.0,4.51,0.0,35.0,115.0,4.12,6.77
Mark LeGree,FS,73.0,210.0,,4.49,21.0,31.0,116.0,4.09,6.9
Orie Lemon,ILB,73.0,242.0,,4.87,27.0,30.0,113.0,4.4,7.45
Mikel Leshoure,RB,73.0,227.0,,4.56,21.0,38.0,122.0,4.4,6.82
Dion Lewis,RB,67.0,193.0,,4.56,17.0,34.5,112.0,4.18,6.9
Alex Linnenkohl,C,74.0,304.0,,5.36,24.0,26.5,89.0,4.62,7.67
Greg Little,WR,75.0,231.0,,4.51,27.0,40.5,129.0,4.21,6.8
Corey Liuget,DT,74.0,298.0,,4.97,27.0,27.5,102.0,4.68,7.48
Greg Lloyd,ILB,73.0,246.0,,4.8,22.0,32.0,109.0,4.46,7.17
Derrick Locke,RB,68.0,188.0,,4.37,16.0,37.5,118.0,4.15,6.98
Greg McElroy,QB,74.0,220.0,43.0,4.84,0.0,33.0,107.0,4.45,7.11
DeMarcus Love,OT,76.0,315.0,,5.18,27.0,26.5,97.0,4.84,7.84
Owen Marecic,FB,73.0,248.0,,4.87,22.0,28.5,102.0,4.56,7.1
Curtis Marsh,CB,73.0,197.0,,4.42,12.0,37.5,123.0,4.07,6.87
Cliff Matthews,DE,76.0,257.0,,4.81,17.0,32.0,112.0,4.37,7.21
Colin McCarthy,ILB,73.0,238.0,,4.59,23.0,36.5,119.0,4.2,6.93
Terrell McClain,DT,74.0,297.0,,4.98,29.0,28.0,104.0,4.56,7.48
Pernell McPhee,DE,75.0,278.0,,4.91,20.0,28.5,107.0,4.59,7.13
Bruce Miller,OLB,73.0,254.0,,4.81,35.0,31.0,113.0,4.34,7.05
Cam Newton,QB,77.0,248.0,21.0,4.56,0.0,35.0,126.0,4.18,6.92
Von Miller,OLB,75.0,246.0,,4.42,21.0,37.0,126.0,4.06,6.7
Dontay Moch,OLB,73.0,248.0,,4.4,21.0,42.0,128.0,4.38,7.09
John Moffitt,OG,76.0,319.0,,5.51,23.0,30.5,102.0,4.53,7.79
Michael Mohamed,ILB,75.0,239.0,,4.65,21.0,32.0,115.0,4.0,6.7
Denarius Moore,WR,73.0,194.0,,4.43,13.0,36.0,118.0,4.15,6.78
Rahim Moore,FS,73.0,202.0,,4.58,11.0,35.0,115.0,3.96,6.98
Adrian Moten,OLB,74.0,228.0,,4.53,18.0,31.0,114.0,4.21,7.05
DeMarco Murray,RB,73.0,213.0,,4.37,21.0,34.5,130.0,4.18,7.28
Chris Neild,DT,74.0,319.0,,5.06,30.0,29.0,106.0,4.46,7.56
Drake Nevis,DT,73.0,294.0,,5.06,31.0,30.5,112.0,4.65,7.71
Christian Ponder,QB,74.0,229.0,35.0,4.63,0.0,34.0,116.0,4.09,6.85
Derek Newton,OT,77.0,311.0,,5.0,24.0,25.5,100.0,5.0,7.76
Kris O'Dowd,C,76.0,304.0,,5.12,31.0,32.5,105.0,4.59,7.67
Schuylar Oordt,TE,78.0,261.0,,4.63,18.0,36.0,119.0,4.25,6.83
Cheta Ozougwu,DE,74.0,247.0,,4.84,26.0,34.5,119.0,4.31,7.06
Martin Parker,DT,74.0,303.0,,4.95,22.0,29.0,104.0,4.57,7.56
Niles Paul,WR,73.0,224.0,,4.45,24.0,34.5,117.0,4.14,6.9
Michael Person,OG,77.0,299.0,,5.07,21.0,28.0,108.0,4.5,7.44
Austin Pettis,WR,75.0,209.0,,4.56,14.0,33.5,120.0,3.88,6.68
Zach Pianalto,TE,75.0,256.0,,4.78,22.0,32.0,108.0,4.41,6.85
Jerrell Powe,DT,74.0,335.0,,5.25,27.0,25.0,93.0,5.06,8.17
Josh Portis,QB,75.0,211.0,,4.59,0.0,40.0,126.0,4.12,6.84
Robert Quinn,DE,76.0,265.0,,4.62,22.0,34.0,116.0,4.4,7.13
Brooks Reed,OLB,75.0,263.0,,4.65,30.0,30.5,113.0,4.28,7.11
D'Aundre Reed,DE,76.0,261.0,,4.84,30.0,35.5,119.0,4.32,7.24
Jah Reid,OT,79.0,327.0,,5.32,28.0,29.5,111.0,4.65,7.73
Allen Reisner,TE,74.0,248.0,,4.9,14.0,28.0,108.0,4.59,7.31
Stevan Ridley,RB,71.0,225.0,,4.65,18.0,36.0,118.0,4.21,6.78
Justin Rogers,CB,71.0,180.0,,4.45,14.0,33.0,114.0,4.2,7.21
Brian Rolle,OLB,70.0,229.0,,4.53,28.0,33.0,115.0,4.26,6.89
Evan Royster,RB,73.0,212.0,,4.65,20.0,34.0,113.0,4.18,7.07
Kevin Rutland,CB,73.0,190.0,,4.58,12.0,35.5,115.0,4.15,6.92
Brandon Saine,RB,71.0,220.0,,4.4,22.0,34.5,113.0,4.25,6.98
Greg Salas,WR,73.0,210.0,,4.53,15.0,37.0,120.0,4.1,6.65
Jock Sanders,WR,66.0,181.0,,4.5,19.0,34.5,121.0,4.13,6.78
Robert Sands,FS,76.0,217.0,,4.53,12.0,35.0,124.0,4.06,7.03
Tyler Sash,SS,73.0,211.0,,4.62,11.0,33.0,108.0,4.27,6.9
Stephen Schilling,OG,76.0,308.0,,5.18,30.0,25.5,98.0,4.62,7.73
Da'Rel Scott,RB,71.0,211.0,,4.4,19.0,34.0,117.0,4.2,7.15
Da'Norris Searcy,SS,71.0,223.0,,4.55,27.0,33.0,120.0,4.09,6.87
Ricky Stanzi,QB,76.0,223.0,30.0,4.87,0.0,32.5,110.0,4.43,6.95
Anthony Sherman,FB,70.0,242.0,,4.74,32.0,32.5,111.0,4.41,7.23
Richard Sherman,CB,75.0,195.0,,4.54,16.0,38.0,125.0,4.33,6.82
Derek Sherrod,OT,77.0,321.0,,5.18,23.0,28.0,97.0,4.63,7.43
Cecil Shorts,WR,73.0,205.0,,4.5,21.0,34.5,114.0,4.07,6.5
Buster Skrine,CB,70.0,186.0,,4.37,20.0,37.0,122.0,3.9,6.44
Aldon Smith,DE,76.0,263.0,,4.74,20.0,34.0,118.0,4.5,7.19
Darryl Smith,OLB,71.0,239.0,,4.75,20.0,31.0,104.0,4.45,7.35
Jimmy Smith,CB,74.0,211.0,,4.42,24.0,36.0,123.0,4.06,6.93
Lee Smith,TE,78.0,266.0,,4.94,25.0,29.0,108.0,4.28,7.16
Torrey Smith,WR,73.0,204.0,,4.41,19.0,41.0,126.0,4.13,6.72
Nate Solder,OT,80.0,319.0,,4.96,21.0,32.0,110.0,4.34,7.44
Owen Spencer,WR,74.0,195.0,,4.51,6.0,37.5,125.0,4.18,6.86
Luke Stocker,TE,77.0,258.0,,4.68,27.0,33.0,115.0,4.4,7.03
Jerrard Tarrant,FS,73.0,204.0,,4.57,14.0,33.0,116.0,4.21,6.92
Vai Taua,RB,70.0,213.0,,4.65,20.0,34.5,112.0,4.18,6.89
Phil Taylor,DT,75.0,334.0,,5.09,31.0,29.5,100.0,4.77,7.75
Zane Taylor,C,75.0,309.0,,5.52,33.0,25.5,104.0,4.77,8.15
Tyrod Taylor,QB,73.0,217.0,,4.47,0.0,37.5,126.0,4.09,6.78
James Thomas,OLB,73.0,241.0,,4.65,23.0,30.5,114.0,4.28,7.23
Josh Thomas,CB,70.0,191.0,,4.46,13.0,38.5,126.0,4.15,6.99
Julius Thomas,TE,77.0,246.0,,4.64,16.0,35.5,111.0,4.31,6.96
Brandyn Thompson,CB,69.0,189.0,,4.5,13.0,33.5,114.0,4.12,6.66
Isaiah Thompson,OG,75.0,300.0,,6.0,23.0,25.0,82.0,5.56,9.04
Cedric Thornton,DT,75.0,309.0,,5.25,23.0,27.0,101.0,4.71,7.7
Jordan Todman,RB,69.0,203.0,,4.4,25.0,38.0,126.0,4.18,7.24
Scott Tolzien,QB,74.0,212.0,,4.92,0.0,29.5,116.0,4.12,6.84
Julian Vandervelde,OG,74.0,301.0,,5.12,23.0,31.0,104.0,4.59,7.46
Jeff Van Camp,QB,77.0,218.0,,4.83,0.0,31.0,114.0,4.16,6.87
Shane Vereen,RB,70.0,210.0,,4.49,31.0,34.0,115.0,4.28,6.95
Danny Watkins,OG,75.0,310.0,,5.36,29.0,26.0,92.0,4.62,7.61
Justin Watt,DE,77.0,290.0,,4.81,34.0,37.0,120.0,4.21,6.88
Ryan Whalen,WR,73.0,202.0,,4.53,18.0,38.5,123.0,4.09,6.67
Markus White,DE,76.0,266.0,,4.86,14.0,32.5,117.0,4.51,7.25
Colby Whitlock,DT,74.0,302.0,,5.27,25.0,30.5,105.0,4.75,7.73
Muhammad Wilkerson,DT,76.0,315.0,,4.96,27.0,26.0,106.0,4.59,7.31
Aaron Williams,CB,73.0,204.0,,4.55,18.0,37.5,127.0,4.07,6.72
D.J. Williams,TE,74.0,245.0,,4.59,20.0,33.5,111.0,4.51,7.29
Keith Williams,OG,76.0,318.0,,5.28,23.0,24.5,93.0,5.03,8.42
Marshall Williams,WR,73.0,188.0,,4.56,9.0,35.5,123.0,4.09,6.61
Nate Williams,SS,73.0,211.0,,4.68,17.0,30.5,114.0,4.15,6.98
Ryan Williams,RB,69.0,212.0,,4.59,19.0,40.0,123.0,4.18,6.96
Zach Williams,C,75.0,309.0,,5.18,28.0,30.0,103.0,4.62,7.54
Lawrence Wilson,OLB,73.0,229.0,,4.71,24.0,32.5,113.0,4.5,7.23
Martez Wilson,ILB,76.0,250.0,,4.42,23.0,36.0,124.0,4.28,7.04
Ryan Winterswyk,DE,76.0,268.0,,4.96,18.0,30.0,111.0,4.37,7.01
Stefen Wisniewski,C,75.0,313.0,,5.29,30.0,28.5,100.0,4.63,7.51
Kenneth Wright,OLB,75.0,246.0,,4.75,20.0,32.0,120.0,4.46,7.26
Jimmy Young,WR,73.0,204.0,,4.5,19.0,37.0,115.0,4.18,7.08
Lee Ziemba,OT,78.0,317.0,,5.5,20.0,29.0,95.0,4.65,7.74
Taylor Yates,QB,75.0,219.0,,5.06,0.0,29.5,104.0,4.12,6.96